,logFC,logCPM,F,PValue,FDR
VLDLR,-1.53508683539119,6.27147744126418,50.1809373561598,3.00755026189433e-07,1.62932081664904e-06
HRH3,7.57451543326923,0.368595476507475,55.7831833720673,3.02183338312476e-07,1.63637278216467e-06
IGFBP6,-1.46258501973214,4.20508798489087,50.1221976178686,3.03619946682029e-07,1.64346374824619e-06
CIAO2B,-0.648500430707359,6.27629918335989,50.1021548762434,3.04604267267131e-07,1.64810161519252e-06
COPB1,-0.476848131869226,7.4849357428561,50.0936269850191,3.05024132113252e-07,1.64968281660916e-06
DYNC2LI1,-1.28544276442864,4.47664833534093,50.0804214631317,3.05675538093595e-07,1.65251443136671e-06
B4GALT6,1.25398497418955,4.08301534751916,50.0774212108393,3.05823746051755e-07,1.6526244738566e-06
EZH2,0.915221192562906,6.28050618705719,50.0657213104856,3.06402449856505e-07,1.65505978556004e-06
SH3BGRL3,-0.724182736762696,7.43878966574935,50.0618400835479,3.0659468692394e-07,1.6554064006595e-06
GPA33,-2.23153083501977,1.30965825751716,50.0572116414044,3.06824104864931e-07,1.65595339435662e-06
CFAP46,-1.27859438031487,3.5971990673296,50.0483361219856,3.07264559557939e-07,1.65763843774871e-06
DMAC1,0.69283874162389,6.00816908766336,50.0440394093484,3.07478034067623e-07,1.65809806773388e-06
NSMCE3,-1.53564170377102,5.33656625573462,50.0367336167528,3.07841379366159e-07,1.65936516667514e-06
KIF21B,1.98133941933735,4.3434647889782,50.0320521839461,3.08074450323724e-07,1.65992928090223e-06
TNNC2,2.89110029129244,1.27682938227755,50.0176743122001,3.08791469980358e-07,1.66309939206921e-06
USP53,-1.80355835513736,6.11558370507185,50.0098914298911,3.09180355910681e-07,1.6645003250735e-06
UPK1A,2.73279948519055,1.25303132421837,49.9583105435242,3.11771176994529e-07,1.67774947286897e-06
CPNE3,-0.617586811794137,6.74587352051446,49.9337576157548,3.13012707127579e-07,1.68372960979238e-06
RASL11A,2.27894083619458,0.54428781005264,49.9223157300412,3.13593105292643e-07,1.6861499496725e-06
SHISAL1,3.60196981525809,2.73159542451724,49.9074365639412,3.14349611608481e-07,1.68951479403377e-06
RFC1,0.568359960686735,6.78248483170345,49.8694531636377,3.16289820547371e-07,1.69923616807785e-06
RETREG2,-0.568814521199664,5.15199307668706,49.8528015628082,3.17144490461721e-07,1.7031199350678e-06
HDDC2,0.607417073264433,6.50488625460935,49.8397287726362,3.17817230425631e-07,1.70602388724324e-06
SLC5A3,-1.30291203741455,6.18395683347517,49.8175454155351,3.18962360458647e-07,1.71146013752116e-06
FLOT2,-0.736586942354354,8.24152172037699,49.7828835403325,3.20760630126121e-07,1.72039498133205e-06
WDR3,1.54115433087576,6.28811390690368,49.7748268263814,3.21180190950127e-07,1.72193079561234e-06
TIMP2,-1.23203775292789,4.96609009164267,49.7552323836969,3.22203080191918e-07,1.72669859641821e-06
VPS41,-0.517263803078474,6.29630361001308,49.749675797346,3.22493794586547e-07,1.72754031861819e-06
PPM1B,1.22734221602383,5.76178282224116,49.7449434177029,3.22741612123273e-07,1.72815164801385e-06
IFT43,-1.23453571024489,4.77795222719981,49.7373609623438,3.23139109210642e-07,1.72956361310839e-06
BACE1,-1.39717343951279,4.40671806586811,49.6313870626375,3.28750628824735e-07,1.75887029312439e-06
ELAVL2,2.65685727732518,3.05053606153762,49.5926638246618,3.30827435763114e-07,1.76895161021911e-06
SEC24C,-0.674161473433689,6.54377026227914,49.5911552205617,3.30908633259307e-07,1.76895161021911e-06
EBPL,1.18067174324914,5.69802856645774,49.5864004502732,3.31164690634145e-07,1.76958858666266e-06
FASTKD1,0.636721508770069,5.65139943206079,49.5800302364615,3.31508081517549e-07,1.77069151309745e-06
ARMC12,2.29509616651089,0.0727194602284988,49.5757964383798,3.31736521389136e-07,1.77117979160511e-06
ST8SIA2,-1.37862641803947,3.220806877676,49.5720910578431,3.31936590176024e-07,1.77133698366602e-06
BRD3OS,-0.585619621113438,5.21327937547263,49.5701761288822,3.32040036470893e-07,1.77133698366602e-06
CSF3R,-4.62174346692205,0.496010453141341,52.980947368334,3.32663645211206e-07,1.7739316328383e-06
BUB1B,1.82370712176693,7.22055123344282,49.5512366978755,3.33065051097542e-07,1.77533973215951e-06
KEL,-2.70936651372515,4.05443962772525,49.5456933627344,3.33365710070351e-07,1.77620987978951e-06
AGAP2,4.35430802652016,1.68711229780505,49.5363729154506,3.33871896672739e-07,1.77817393341237e-06
PDLIM1,-0.931312336544113,7.81575451792375,49.5018978034929,3.35751484007071e-07,1.78744797457801e-06
NOMO3,-1.06739339741695,3.62300842393726,49.4848955475373,3.36682679400408e-07,1.79166748206244e-06
CCDC138,0.721472059116429,4.97528989792016,49.4765770220081,3.37139298098231e-07,1.79335908115956e-06
ANKRD34A,-2.91899206418957,1.52559353664288,49.4301223048461,3.39701682248386e-07,1.80624596657451e-06
NAE1,0.507400597769206,7.66549591183929,49.4147697538322,3.4055315547946e-07,1.8100288189669e-06
