,TCF4,GATA4,CTCF,PRDM1,SMAD4,GATA6,FOXA1,NANOG,HNF4A,SOX17,FOXA2,POU5F1,SP1,SOX2,STAT3,KLF5,HNF1B,SRF,OTX2,THAP11,SMAD2,EOMES
PHF24,0.8964916714020337,-1.0,6.197466505862754e-08,0.23685571403379047,0.045022211538410656,-1.0,8.093672205696614e-05,0.0037306770156160557,8.52590264949469e-09,6.991040858588784e-12,1.8996079976912107e-06,0.00021036445295192916,4.064618602794786e-06,0.0036134224550262673,0.0006105488583786474,1.0153254403970955e-13,3.575635319637902e-11,0.011375997980420454,0.49268914806909514,0.08548924884467422,0.1566970772316306,0.9544944551639748
CALCB,0.06707637844773247,0.27901125281778744,0.14862440141578503,0.08639724154051327,0.38086839305517284,0.14575745439328486,0.33039138810137614,3.5775850649522746e-06,-1.0,0.2599180421842805,0.9245316685838276,0.1415014240279445,0.24848539015342605,0.798136252157079,0.1480089397070502,0.2992592119780874,0.41791302609008507,0.017295224687411886,0.20563138172254491,0.3667584352499157,0.31001763760023227,0.16129723509526064
IDO1,0.12111971282582674,0.0071762573744013364,0.00030168907820672794,0.12656027648351323,0.4455188775607948,-1.0,0.03802079776651116,0.0179113141351297,0.992773854494345,-1.0,0.002140012810790243,0.000132941457026745,0.34700797837554975,0.4375012560523449,-1.0,0.10893525620771229,5.417672444491274e-05,5.534256943289598e-05,0.007772786691649877,0.22682559500994007,0.4521907720346826,0.727444758329882
FGF2,0.05878919357991901,0.03813338371655089,0.006229759980039663,0.004350959589008711,0.9858254450103849,-1.0,0.01617153520329315,0.1718209613218535,-1.0,0.7497482889605267,0.017345968039833865,0.012764139947491229,0.47568958570310194,0.31047796273571887,0.16538390128671546,0.08348210038681815,0.0004700599335901241,0.016055792810848745,4.658117106835779e-05,0.1304720480965196,0.37074305840006816,0.629983570469361
CRIP3,0.4656772589962377,0.5532165038154967,0.020003762906373602,0.3144557529942102,0.8063794097481765,0.342574979425476,0.07950897621738055,0.1413142080016467,0.764857332911063,0.9104020867469396,0.1530196099063279,0.09175397291224269,0.6119875259683706,0.964260561885202,-1.0,0.5117345906786318,0.0156787783929478,0.10730415073138255,0.447600211016997,0.8120609347850144,0.9442218415802341,0.995547306120182
FGR,0.08651943307393782,0.011493100100472262,0.07829881352950056,0.10794202165324521,4.832500598236266e-07,0.4919567665678022,1.1056982160682841e-05,0.8457567022415798,0.015137020037493702,6.620435260591869e-06,0.2900693238381875,0.0001089077089523878,0.4294787014548058,0.04418481614303383,0.0001169950809290425,0.006541451485684845,6.363638674216877e-07,0.594399387098888,0.0017497469392541748,0.0002653554963176936,0.0026976702668580496,0.0023112781413766096
LEFTY2,0.605438556527155,0.10516132808026399,0.00040665081155431143,0.9922431741944002,0.010475889552193062,-1.0,0.8031381627122544,0.024880498433809656,0.45246076876753494,-1.0,0.0002291412612143094,0.6063502168670254,0.8587405795777576,0.9314655970785142,0.6225937599275165,0.010309187577159757,0.001269226726868392,0.00019184995840946845,0.03014765593517881,0.13991073245903343,0.2613184931383649,0.05081112261877186
SLC7A5,0.11697027971088994,0.8244912186693296,0.01956454235817664,0.9044600373324817,0.42516836912445843,-1.0,0.9089307008384478,0.2845950996052569,0.4409258885344818,0.11180099534833547,0.5345027966146852,0.05938957079940817,0.22814110375591606,0.7216761963823763,-1.0,0.6668402336877817,0.006370324945955325,0.3477669008409171,0.3682204107269258,0.284336650227659,0.7509013112729743,0.5430899900616224
IER3,0.16809203548141388,0.38569576031797215,0.019606159102406477,0.6481012819345315,0.12770706712048432,0.17155751640820832,0.28470140511455905,0.015920377095044385,0.23031379365915375,0.045713815311558,0.2909832048718402,0.5458822038460582,0.25327868209305826,0.7006155245134547,0.33144192766868763,-1.0,0.5171803098977714,0.00015281762543946047,0.20195859790328619,0.26489477061694633,0.09064620072912702,-1.0
MYEOV,0.08756070557850475,0.09683093925640404,0.4588024807167377,0.42215697992022827,0.19830144050351786,-1.0,0.7054061976998116,0.17509082990356842,0.7429255202745375,0.03735716633360022,-1.0,0.9411616249218301,0.16785854475734774,0.06019684778074907,0.25243223804957743,0.4439458711390205,0.1448984414776132,0.06830885953499449,0.6747762011804314,0.30799421148735373,0.4712496489087261,0.30287124730391796
ANKRD55,0.8641070884618649,0.15008659040570554,0.7470354588483596,0.6365958090248048,0.16076377800310962,0.8226362610638159,0.1697565480865142,0.306724440324999,0.389500222584518,-1.0,-1.0,0.5872146253263917,0.2985662894196904,0.458985075740284,0.3686844628142948,0.8417278423814907,0.13683658225711334,0.5654866055746017,0.26654299703847334,0.5183151600021023,0.26866764867492876,0.06137929340854997
ALK,0.5012075713737175,-1.0,0.3159745120351985,0.2620928894894283,0.42710065987539647,0.8543192973278905,0.7361610982025582,0.8878119265408588,0.7042949042582569,-1.0,0.7900687142334284,0.11889547146289875,0.8457146537139386,0.1267819581186142,-1.0,0.5221950287623007,0.25744114522593453,0.27971278609852623,0.7838351126887334,0.40452183731367486,0.4971443053220582,0.030580394186887083
GAPT,0.5956540922759261,0.14227470978785633,0.14917198409746232,0.8863497976316614,0.05360771791510399,-1.0,-1.0,0.42827941778619927,0.5727580619159893,-1.0,0.962464347638867,0.4007913151685635,0.42653193409184764,0.5995262916694728,0.5869877206453042,0.36919595686375384,0.05778416314597225,0.4512014557825076,0.930978004825905,0.43540685429949977,0.14699453957997746,0.003528288988030201
SPSB1,0.7828242881764844,0.4987890315011657,0.004909201192147773,0.02770569623057121,0.323943305505453,0.0038070723623089492,0.057397179994833736,0.006969660007165915,0.383291825717051,0.12485763389386977,0.005312567910573243,0.004929295051930509,0.1985969664558432,0.5804270738036748,0.30452311242590996,0.07778472208089045,0.2810162565512805,0.0007047882200655579,0.009233269630113387,0.3056962985113814,0.19672958821867895,-1.0
CAVIN3,-1.0,0.0015657174620749433,0.038715643711792036,0.022192936622506244,0.0008116203576032803,0.20035406242840548,0.02687602859934271,0.009279433462838053,0.0015711664198260432,-1.0,-1.0,0.048482264927940104,0.29152674257804206,0.0816097732910557,0.09087204620001824,0.40459441226533177,0.04133873903919258,0.7576435809621906,2.477654006707706e-07,0.02464725760183478,0.012239300818152431,0.025002958504628758
ADAD2,0.9948160484597964,0.43520978032029256,0.23275495935497306,0.9506651384394693,0.7251053706119606,0.8194249443289837,0.390352290779016,0.7926896260059699,0.5206919682400075,0.5679056628612511,0.8098769018332101,0.3088345951569365,0.7965405044412226,0.8466095822610453,0.5150495596626352,0.8266109412780477,0.8497401839521197,0.8460603009602685,0.6532339246329295,0.36175462823946425,0.8354281088642972,0.4499028027200498
ANXA2,0.28996483295182574,0.9711223819135568,0.001321882684059845,0.01097080403679775,0.2190384494708729,0.06687455017234678,0.20617013150738525,0.23996234927275686,0.20941541424995638,0.10100041318482869,-1.0,0.044810568789776906,0.6828381304302352,0.45946970804105114,-1.0,0.6305249099331356,0.0788038533352884,0.14042104728660512,0.04536521289525137,0.07929596667829386,0.5591797588100604,-1.0
NCR1,0.5884468102574911,0.429495029772921,0.2988530106776271,0.29297472225690313,0.3246026868348081,0.7012653029136525,0.14260988399484617,0.565877200247406,0.019966574818110466,0.13047000053562513,0.6262740253104473,0.3228194556611914,0.7626933826553237,0.8731899601731712,0.4098665761917728,0.004533634406098743,0.07374167601411624,0.7416182254055823,-1.0,0.9567197940686476,0.3709788558247932,0.48863348851402844
CAP2,0.011654583382501542,0.013848285026002449,0.00010668317514491521,0.00109725737314719,0.824829728180194,0.06898005311880853,0.4692411136652016,7.764180624268732e-05,0.02090331646627044,0.14971617046826868,0.0075124226658638766,0.45015064366118296,0.8992283179064344,0.8666140213429179,0.3039186681925538,0.31681836215460085,0.031221595894431492,0.00028939719485107277,0.5901403893000567,0.4771189512691312,0.03768803173063251,0.07669862810943207
